बचाओ!	Help!
मैं हूँ जो हूँ।	I am who I am.
कृपया अंदर आईए।	Please get in.
हम शहर में हैं।	We're in town.
मैं वापस आऊँगा।	I'll come back.
यह एक किताब है।	This is a book.
यह मेरा पति है।	He's my husband.
कैसा चल रहा है?	How is it going?
अपना मूँह खोलो!	Open your mouth!
वह तो हसीना है।	She is a beauty.
कुत्ता मेरा है।	The dog is mine.
ऊपर तक चढ़ जाओ।	Climb to the top.
गाड़ी तैयार है।	The car is ready.
तुम कहाँ गए थे?	Where did you go?
उसे धोका मत दो।	Don't deceive him.
मुझे नींद आ गई।	I got very sleepy.
शुरू हो रहा है।	It's starting now.
हाँ। यह सही है।	Yes. That's right.
पत्थर मत फेंको।	Don't throw stones.
वह बाघ नहीं है।	That is not a tiger.
सर्दी आ रही है।	Winter is coming on.
कल बरफ़ पड़ेगी।	It will snow tomorrow.
यह लगभग सही है।	That is almost correct.
तापमान क्या है?	What's the temperature?
कोईसा भी ले लो।	Take whichever you want.
मुझे भूख लगी है!	I'm hungry!
मुझे भूख लगी है।	I'm hungry!
उसे अंगर आने दो।	Let him in.
मुझे भूख लगी है।	I am hungry.
उसको अंदर ले आओ।	Bring him in.
मुझे नहीं मालूम।	I don't know.
बरफ़ गिर रही है।	It's snowing.
मोटे मत हो जाना।	Don't get fat.
मैं उसे लेलूँगा।	I'll take him.
यह मुफ़्त का है।	It's for free.
तुम्हारी चाल है।	It's your move.
मज़ाक कर रहे हो!	You're kidding!
सब लोग कैसे हैं?	How is everyone?
चलो पतंग उड़ाएँ!	Let's fly kites.
वह मेरी गलती है।	That's my fault.
बिजली गई हुई है।	The power's out.
ये चिड़ियाँ हैं।	These are birds.
आज एक अप्रैल है।	It's April first.
अब मेरी बारी है।	It's now my turn.
यह आपकी चाबी है।	This is your key.
तुम शायद सही हो।	You may be right.
वह चिल्लाने लगा।	He began to shout.
वह अब चल रहा है।	He is walking now.
पृथ्वी घूमती है।	The earth rotates.
मुश्किल क्या है?	What's the matter?
तू कहाँ रहता है?	Where do you live?
तू कहाँ रहती है?	Where do you live?
उम्मीद मत छोड़ो।	Don't give up hope.
वह साधा आदमी है।	He is a simple man.
बाद में मिलेंगे।	I'll see you later.
मैं अभी आता हूँ।	I'm coming at once.
हम जल्दी में थे।	We were in a hurry.
मुश्किल क्या है?	What's the problem?
शुरू कब होता है?	When does it begin?
मैं शराब लाऊँगा।	I'll bring the wine.
वह काम करती रही।	She kept on working.
यह मुफ़्त का है।	It is free of charge.
आज कौनसा वार है?	What day is it today?
मुश्किल क्या है?	Where is the problem?
मुश्किल कहाँ है?	Where is the problem?
कहीं भी बैठ जाओ।	Sit wherever you like.
मुझे चलना चाहिए।	Well, I must be going.
वह कल आएगा क्या?	Will he come tomorrow?
ऐसी बात मत बोलो।	Don't say such a thing.
उसने तैरना सीखा।	He learned how to swim.
कल रात क्या हुआ?	What happened last night?
नौ बज चुकें हैं।	It's already nine o'clock.
मैं निकम्मा हूँ।	I'm a good-for-nothing bum.
दुकान आज बंद है।	The store is not open today.
टीवी चालू कीजिए।	Please turn on the television.
फ़ोन कई बार बजा।	The telephone rang several times.
फ़ौरन ओसाका जाओ।	I want you to go to Osaka at once.
मैं तैर सकता हूँ।	I can swim.
मैं कोशिश करूँगा।	I will try.
क्या मैं ग़लत था?	Was I wrong?
टॉम चला गया क्या?	Has Tom left?
वह फ़्रानसीसी है।	He is French.
इसे दोबारा पढ़ें।	Read it again.
कमरे को साफ़ करो।	Clean the room.
यह मेरा बस्ता है।	This is my bag.
हम आपको बुलाएँगे।	We'll call you.
वह वहाँ गया क्या?	Did he go there?
मेरी याद आई क्या?	Did you miss me?
वह भागते हुए आया।	He came running.
मुझे गिटार चाहिए।	I want a guitar.
वह बहुत बोलती है।	She talks a lot.
वह उसका दोस्त है।	He is her friend.
वह अरबी बोलता है।	He speaks Arabic.
मुझे अभी जाना है।	I have to go now.
हम जल्दी में हैं।	We're in a hurry.
आपका नाम क्या है?	What's your name?
शराबख़ाना कहाँ है?	Where is the bar?
मैं पूरी रात रोई।	I cried all night.
मुझे सच्चाई बताओ।	Tell me the truth.
सुख क्या होता है?	What is happiness?
आपका नाम क्या है?	What is your name?
आप कहाँ रहते हैं?	Where do you live?
तुम कहाँ रहते हो?	Where do you live?
तुम कहाँ रहती हो?	Where do you live?
वह किताब कहाँ है?	Where is the book?
यहाँ बहुत गरम है।	It's very hot here.
वह बहुत सुंदर है।	She is very pretty.
और स्वाद कैसा है?	How about the taste?
तुमने कैसे बनाया?	How did you make it?
मैं गाता चला गया।	I continued singing.
वह मेरी ग़लती थी।	That was my mistake.
मैं बेहोश हो गया।	I lost consciousness.
इस घर में भूत है।	The house is haunted.
यह जूते उसके हैं।	These shoes are hers.
यह क्या बकवास है?	What is this nonsense?
वे कल आएँगे क्या?	Will he come tomorrow?
कर भला तो हो भला।	You reap what you sow.
"कौन है? ""मैं हूँ"""	"Who is it? ""It's me."""
नाराज़ मत हो जाओ।	Don't lose your temper.
ये अजीब है, नहीं?	That's weird, isn't it?
छः बजने वाले हैं।	It's almost six o'clock.
वे तुमसे डरते थे।	They were afraid of you.
दस बजने वाले हैं।	It is almost ten o'clock.
यह मेरी पत्नी है।	Let me introduce my wife.
क्या ढूँढ रहे हो?	What are you looking for?
तुम वापस कब आओगे?	When are you coming back?
मेज़ पर किताब है।	There is a book on the desk.
आबादी बढ़ रही है।	The population is increasing.
मुझे तैरना आता है।	I can swim.
मुझे बाहर जाने दो!	Let me out!
मुझे गणित पसंद है।	I like math.
क्या तुम बीमार हो?	Are you sick?
मैं हिल नहीं सकता।	I can't move.
मैं अब थक गया हूँ।	I'm tired now.
वह बिल्ली है क्या?	Is that a cat?
टॉम मेरा लड़का है।	Tom is my son.
नए साल की बधाईयाँ।	Happy New Year!
जन्मदिन मुबारक हो!	Happy birthday!
उसके पास दाढ़ी है।	He has a beard.
यह मेरा कुत्ता है।	This is my dog.
तुम्हें जाना होगा।	You have to go.
तुम घर पे हो क्या?	Are you at home?
आसपास कोई नहीं है।	Nobody's around.
यह तो ठीक नहीं है।	That isn't fair.
अभी कितने बजे हैं?	What time is it?
आओ हमारे साथ बैठो।	Come and join us.
आओ हमारे साथ बैठो।	Come sit with us.
मुझे अब जाना होगा।	I must leave now.
टॉम मेरा दोस्त है।	Tom is my friend.
हम घर जा रहें हैं।	We're going home.
मैं वैसा नहीं हूँ।	I'm not like that.
आसपास कोई नहीं है।	No one's in sight.
खुशी क्या होती है?	What is happiness?
तुम्हें जाना होगा।	You have to leave.
उसने गहरी साँस ली।	He breathed deeply.
वह अच्छा इनसान है।	He's a good person.
मेरी बीवी चीनी है।	My wife is Chinese.
वह डॉक्टर नहीं है।	She's not a doctor.
समुद्र तट कहां है?	Where is the beach?
यह किसकी किताब है?	Whose book is this?
उसकी हालत बुरी है।	He's in a bad state.
मैं शराब लाता हूँ।	I'll bring the wine.
तुम क्यों नहीं आए?	Why didn't you come?
मेरी चिंता मत करो।	Don't worry about me.
उसकी हालत बुरी है।	He is in poor health.
वह सुंदर लिखता है।	He writes beautifully.
वह पाँच साल की है।	She is five years old.
स्टेशन पास में है।	The station is nearby.
उनकी ट्रेन छूट गई।	They missed the train.
लिफ़्ट कहाँ पर है?	Where is the elevator?
वह बस आता ही होगा।	He will soon come back.
पता नहीं क्या हुआ।	I wonder what happened.
मैं फ़ोन करता हूँ।	I'll make a phone call.
हकला क्यों रहे हो?	Why are you stuttering?
वह जल्दी नहीं उठा।	He did not get up early.
होमवर्क किया क्या?	Did you do your homework?
मुझे बैंक जाना है।	I have to go to the bank.
पार्टी कामयाब रही।	The party was successful.
उसकी राय बेकार है।	His opinions are worthless.
आपको कहीं जाना है?	Do you want to go somewhere?
शांति से खड़े रहो।	Stand still and keep silent.
अपने मोज़े उतारिए।	Take off your socks, please.
यह असली हीरा होगा।	This must be a real diamond.
हमने बड़ी मौज करी।	We really enjoyed ourselves.
सब लोग मुझपर हँसे।	I was laughed at by everyone.
मेरा फ़ोन खराब है।	My telephone is out of order.
बंदर पेड़ पर चढ़ा।	The monkey climbed up a tree.
कृपया ध्यान दीजिए।	Give me your attention, please.
ऐसा अक्सर होता है।	Such a thing occurs frequently.
उनकी शादी कल होगी।	Their wedding will be tomorrow.
ये प्रश्न सरल हैं।	These questions are easy to answer.
मेरा पेट भर गया है।	I'm full.
मैं बोर हो रहा हूँ।	I'm bored.
मुझे दोनो पसंद हैं।	I like both.
मुझे ट्राए करने दो।	Let me try it.
क्या आप लोग ठीक हो?	Are you guys OK?
यहाँ कैफ़े है क्या?	Is there a cafe?
बस अब रोना बंद करो।	Now stop crying.
यह तुम्हारे लिए है।	This is for you.
हम अरबी पढ़तें हैं।	We study Arabic.
मेरी किताब कहाँ है?	Where's my book?
आप डॉक्टर हैं क्या?	Are you a doctor?
उसके पैर लम्बे हैं।	He has long legs.
मैं उसे नहीं जानता।	I don't know him.
वह नौकरानी रखता है।	He employs a maid.
मैं खुश हो रहा हूँ।	I'm getting happy.
मेरी ग़लती नहीं है।	It's not my fault.
रेडियो को चालू करो।	Turn on the radio.
वह रोया और और रोया।	He cried and cried.
मैं टीवी देखता हूँ।	I watch television.
बरफ़ जैसा दिखता है।	It looks like snow.
मेरा है, उसका नहीं।	It's mine, not his.
मेरी है, उसकी नहीं।	It's mine, not his.
यह मुझे संभालने दो।	Let me handle this.
मेरी पत्नी चीनी है।	My wife is Chinese.
ये कुत्ते बड़े हैं।	These dogs are big.
हम बहुत थक चुके थे।	We were very tired.
हम अच्छे दोस्त हैं।	We're good friends.
मेरी टिकट खो गई है।	I've lost my ticket.
हम अच्छे दोस्त हैं।	We are good friends.
तुम क्या कर रहे थे?	What were you doing?
तुम कहाँ जा रहे हो?	Where are you going?
आप कहाँ जा रहे हैं?	Where are you going?
अपनी किताब मत खोलो।	Don't open your book.
हमारी चिंता मत करो।	Don't worry about us.
वह भारत गया हुआ है।	He has been to India.
वह तुमसे नाराज़ है।	He is angry with you.
ग्यारह बज चुके हैं।	It is already eleven.
वह उसकी ख़ासियत है।	That's his specialty.
तुम कब लौट कर आओगे?	When will you return?
तुम आज खुश लगते हो।	You look happy today.
मैं उनका आभारी हूँ।	I am grateful to them.
मेरी आँख सूज गई है।	My eye has swollen up.
मुझे बताओ क्या हुआ।	Tell me what happened.
वह काम शुरु मत करो।	Don't start doing that.
वह बस अभी आता होगा।	He will soon come back.
कितने बजे खुलता है?	What time does it open?
बारह बजने वाले हैं।	It is almost 12 o'clock.
कल मेरा जन्मदिन है।	Tomorrow is my birthday.
हर घर में बगीचा था।	Every house had a garden.
मैं तो संतुष्ट हूँ।	As for me, I am satisfied.
मेरे घर आठ बजे आना।	Come to my house at eight.
मेरे पापा का घर है।	This is my father's house.
तुमने कल क्या किया?	What did you do yesterday?
कल मेरा जन्मदिन था।	Yesterday was my birthday.
वह ईमानदार लगता है।	It appears that he is honest.
अपना वादा मत तोड़ो।	Don't go back on your promise.
कल का मौसम कैसा था?	How was the weather yesterday?
वह आज टीवी पर आएगी।	She is appearing on TV tonight.
आज बहुत ठंडा है ना?	It is very cold today, isn't it?
वह अफ़वाह सच निकली।	The rumor turned out to be true.
कल का मौसम कैसा था?	What was the weather like yesterday?
मुझे तुमसे प्यार है।	I love you.
मैं बहुत व्यस्थ हूँ।	I'm very busy.
मुझे इतिहास पसंद है।	I like history.
मैं घर पर ही रहूँगा।	I'll stay home.
मैं अनीश्वरवादी हूँ।	I'm an atheist.
मैं बहुत थक गया हूँ।	I'm very tired.
आज मौसम बहुत गरम है।	It's hot today.
हम आपको फ़ोन करेंगे।	We'll call you.
वह अरबी पढ़ सकता है।	He reads Arabic.
तुम कितने साल के हो?	How old are you?
मुझे उल्टी आ रही है।	I feel nauseous.
मैं हर साल जाता हूँ।	I go every year.
मुझपर हमला किया गया।	I was assaulted.
तुमने मुझे डरा दिया!	You startled me!
मैं मुश्किल में हूँ।	I have a problem.
मैं बहुत थक गया हूँ।	I'm really tired.
आपसे मिलकर खुशी हुई।	Nice to meet you.
वह कौनसी चिड़िया है?	What's that bird?
वह देशद्रोही बन गया।	He turned traitor.
मैं संगीत सुनता हूँ।	I listen to music.
उसकी नीली आँखें हैं।	She has blue eyes.
वह शादीशुदा नहीं है।	She isn't married.
हमारे पास खुशखबर है।	We have good news.
अभी से रात हो गई है।	It is already dark.
मेरा परिवार छोटा है।	My family is small.
वह खुशी से उछल पड़ी।	She leaped for joy.
कितना बड़ा कद्दू है!	What a big pumpkin!
मैं सेव खा रहा हूँ ।	I am eating an apple.
मैं सेव खा रही हूँ ।	I am eating an apple.
मुझे उल्टी आ रही है।	I feel like vomiting.
फ़ोन बज रहा है क्या?	Is the phone ringing?
उसने उसे एक घड़ी दी।	She gave him a watch.
पानी का पाइप फट गया।	The water pipe burst.
यह घड़ी टूटी हुई है।	This watch is broken.
वह पुलिसवाला बन गया।	He became a policeman.
वह बहुत पैसेवाला है।	He has a lot of money.
ये क्या किताबें हैं?	Whose books are these?
जैसी करनी वैसी भरनी।	You reap what you sow.
जैसा करना वैसा भरना।	You reap what you sow.
यह रंग पसंद है क्या?	Do you like this color?
मुझसे पैसे मत माँगो।	Don't ask me for money.
उनका मज़ाक मत उड़ाओ।	Don't make fun of them.
अपने काम से काम रखो!	Mind your own business!
वह नर्म दिल वाली है।	She has a gentle heart.
वह पार्क में खो गया।	He got lost in the park.
मुझे उल्टी आ रही है।	I feel like throwing up.
तुम यही चाहते थे ना?	Is this what you wanted?
हमने गोल मेज़ खरीदी।	We bought a round table.
तुम्हे किसलिए चाहिए?	What do you want it for?
चीज़ दूध से बनता है।	Cheese is made from milk.
मैं और नहीं चल सकती।	I can't walk any further.
मैं जंगल में खो गया।	I got lost in the forest.
खाना ठंडा हो रहा है।	The food is getting cold.
आप वहाँ जाएँगे क्या?	Will you please go there?
मैं और नहीं चल सकती।	I cannot walk any farther.
मैं तुमसे निराश हूँ।	I'm disappointed with you.
उसने तस्वीर को देखा।	She looked at the picture.
तुम थक गए हो, है ना?	You are tired, aren't you?
आप गलत ट्रेन पर हैं।	You are on the wrong train.
उसको तैरना नहीं आता।	He doesn't know how to swim.
वह सेव सड़ने लगा है।	The apple has begun to decay.
जनसंख्या बढ़ रही है।	The population is increasing.
इस कमरे में मेज़ है।	There is a desk in this room.
काश कल बारिश हो जाए।	I hope that it rains tomorrow.
वह कल क्यों नहीं आई?	Why didn't she come yesterday?
जाँच-पड़ताल जारी है।	The investigation is under way.
मेरी घड़ी ख़राब हो गई।	My watch isn't working properly.
ऐसे लोग कम ही होंगे।	There are few, if any, such men.
जंगल के जानवर मर गए।	The animals in the forest died off.
शेर जंगल का राजा है।	The lion is the king of the jungle.
मेरे पास एक गाड़ी है।	I have a car.
बहुत ज़्यादा बड़ा है।	It's too big.
बिस्तर से बाहर निकलो!	Get out of bed!
उसको पैसों की कमी थी।	He was hard up.
कितने बदतमीज़ हो तुम!	How rude of you!
मुझे यह वाला पसंद है।	I like this one.
मैंने उसे फिरसे देखा।	I saw her again.
मैं अच्छा रसोइया हूँ।	I'm a good cook.
क्या यह काला नहीं है?	Is it not black?
मुझे बहुत भूख लगी है।	I'm really hungry.
यह पाय किसने बनाई है?	Who made this pie?
तुम आज बिज़ी हो क्या?	Are you busy today?
उसे सब पसंद करते हैं।	Everyone likes her.
उसे सब पसंद करते हैं।	Everyone likes him.
मुझे उसका पता पता है।	I know her address.
मुझे उसका पता पता है।	I know his address.
मुझे अभी भी नहीं पता।	I still don't know.
मैंने रातभर काम किया।	I worked all night.
रेलगाड़ी से चलते हैं।	Let's take a train.
मेरी गाड़ी टोयोटा है।	My car is a Toyota.
यह मेरी का कुत्ता है।	This is Mary's dog.
गाड़ी कौन चला रहा है?	Who's at the wheel?
उसे सब पसंद करते हैं।	Everybody likes her.
उसे सब पसंद करते हैं।	Everybody likes him.
मैं भारत से नहीं हूँ।	I am not from India.
मैं दोनो को जानता था।	I know both of them.
मेरे पैसे चोरी हो गए।	My money was stolen.
ये हमारी किताबें हैं।	These are our books.
तुमने क्या जवाब दिया?	What did you answer?
इस डब्बे में क्या है?	What is in this box?
तुम फिरसे चालू हो गए।	You are at it again.
तुमने मेरी जान बचाली।	You're a life saver.
मुझे लगता है वह आएगा।	I expect him to come.
मेरा चश्मा खो गया है।	I've lost my glasses.
मेरे चश्मे खो गए हैं।	I've lost my glasses.
ये किताबें मेरीं हैं।	These books are mine.
यह रेशम जैसा लगता है।	This feels like silk.
तुमने उसे कब देखा था?	When did you see her?
घंटी बज चुकी है क्या?	Has the bell rung yet?
पार्टी शुरू करते हैं।	Let's start the party.
इसको अपना घर ही समझो।	Make yourself at home.
जहाँ भी रखना है रखदो।	Put it where you like.
उसने मुझसे मदद मांगी।	She asked me for help.
टॉम और मैं दोस्त हैं।	Tom and I are friends.
अच्छा करो, अच्छा पाओ।	You reap what you sow.
वह अच्छा कमा लेता है।	He earns a good salary.
उसकी तीन बेटियाँ हैं।	He has three daughters.
उसके पिता जापानी हैं।	Her father is Japanese.
मुझे अभी भी नहीं पता।	I still don't know yet.
यह चाकू तेज़ नहीं है।	The knife is not sharp.
यह शेर बहुत पालतू है।	This lion is very tame.
मुझे गिलास खाली मिला।	I found the glass empty.
मुझे एक और उदाहरण दो।	Show me another example.
बस अभी तक आई नहीं है।	The bus hasn't come yet.
वह कैंसर से नहीं मरा।	He did not die of cancer.
आधा किलो कितने का है?	How much for half a kilo?
मैंने दो कप कॉफ़ी पी।	I had two cups of coffee.
मैं नहाने जा रहा हूँ।	I'm going to take a bath.
उस आदमी ने कत्ल किया।	The man committed murder.
ये सेब बहुत बड़े हैं।	These are very big apples.
वह कितना नसीबवाला है!	What a lucky person he is!
जहाँ भी रखना है रखदो।	Place it wherever you like.
तुम्हें कहीं जाना है?	Do you want to go somewhere?
मेने उसे नियम समझाया।	I explained the rule to him.
मुझे एक कप चाय दीजिए।	Please give me a cup of tea.
उसने सौ डॉलर बचा लिए।	She saved a hundred dollars.
दस घर जलकर राख हो गए।	Ten houses were burned down.
वह नगर दो मील दूर है।	That town is two miles away.
तुम यहाँ क्यों आए हो?	What have you come here for?
तुम नहीं आ रहे हो ना?	You are not coming, are you?
इस दीवार पर मत झुँको।	Don't lean against this wall.
मैं नतीजे से खुश हूँ।	I am pleased with the result.
इसको अपना घर ही समझो।	Please make yourself at home.
ट्रेन पटरी से उतर गई।	The train ran off the tracks.
आधे सेव सड़ चुके हैं।	Half of the apples are rotten.
हम खबर सुनकर चौंक गए।	We were surprised at the news.
घर में सब-कुछ ठीक है।	Everything is all right at home.
न वह वहाँ गया, न मैं।	He didn't go there. Neither did I.
वह आज भी एक रहस्य है।	The mystery still remains unsolved.
कल वह चाँद पर उतरेगा।	Tomorrow, he will land on the moon.
वह अचानक से हँस पड़ी।	All of a sudden, she began to laugh.
डिनर किसके साथ करोगे?	Who are you going to eat dinner with?
अपनी मर्यादा अपने हाथ	Respect yourself and you will be respected.
मेरे पास एक कुत्ता है।	I have a dog.
मौत तो सभी की होती है।	Everyone dies.
नव वर्ष की शुभकामनाएं!	Happy New Year!
वह बीमार नहीं हो सकता।	He can't be ill.
उसने टोपी पहनी हुई है।	He has a hat on.
मैं अच्छा बावर्ची हूँ।	I'm a good cook.
आज मेरा नसीब अच्छा है।	I'm lucky today.
नहीं, मैं नहीं गया था।	No, I didn't go.
वह बहुत बक-बक करती है।	She talks a lot.
यह लो, तुम्हारा बस्ता।	Here is your bag.
यह तुम्हारा कुत्ता है।	This is your dog.
तुम्हारी उम्र क्या है?	What is your age?
वह मुझसे मिलने आया था।	He came to see me.
मेरे पास कुछ पैसे हैं।	I have some money.
मेरी आँखें थक गईं हैं।	My eyes are tired.
एक बार और प्रयत्न करो।	Try it once again.
हम उसे नहीं जानते हैं।	We don't know her.
हम उसे नहीं जानते हैं।	We don't know him.
बरफ़ गिरनी शुरू गो गई।	It started to snow.
हम जंग के ख़िलाफ़ हैं।	We are against war.
यह केक किसने बनाया है?	Who made this cake?
मैं उसे देखना चाहूँगा।	I'd like to see her.
मैं दस बजे वापस आऊँगा।	I'll be back at ten.
मैंने फ़ोन कर लिया है।	I've already called.
चलो बेसबॉल खेलतें हैं।	Let's play baseball!
उसने मेरी कमीज़ खींची।	She pulled my shirt.
हवाई अड्डा कहाँ पर है?	Where's the airport?
तुम्हारे टीचर कौन हैं?	Who is your teacher?
मुझे पीठ की तकलीफ है I	I have back problems.
मुझे ज़ुकाम हो गया है।	I have caught a cold.
समय तेज़ी से बीतता है।	Time goes by quickly.
अपने हाथ अच्छे से धोओ।	Wash your hands well.
गैलीलियो ने क्या देखा?	What did Galileo see?
गैलीलियो को क्या दिखा?	What did Galileo see?
वह पुलिस अफ़सर बन गया।	He became a policeman.
वह गरीब है, पर खुश है।	He is poor, but happy.
वह लम्बा और ताकतवर है।	He is tall and strong.
मुझे अकेला छोड़ दीजिए।	Please leave me alone.
वह गाना सभी को पता था।	Everyone knew the song.
मुझे पिंजरा खाली मिला।	I found the cage empty.
आज मौसम काफ़ी ठंडा है।	It's rather cold today.
वह गरीब है, पर खुश है।	She is poor, but happy.
वह बहुत बक-बक करती है।	She prattles on and on.
वह तेल में पका हुआ है।	That was cooked in oil.
वे बहुत प्रसन्न होंगे।	They will be very glad.
यह किताब बहुत पतली है।	This book is very thin.
वह सूप को सूँघ रहा है।	He is smelling the soup.
डब्बा लकड़ी का बना है।	The box is made of wood.
यह कुरसी बहुत छोटी है।	This chair is too small.
यह नदी बहुत सुन्दर है।	This river is beautiful.
अपना मूँह इस ओर मोड़ो।	Turn your face this way.
दो और दो चार होते हैं।	Two plus two makes four.
टीवी चालू करदोगे क्या?	Will you turn on the TV?
तुम उससे छोटे हो क्या?	Are you younger than him?
वह दस साल का लड़का था।	He was then a boy of ten.
मुझे दिल की बीमारी है।	I have a heart condition.
मैं फिरसे नहीं करूँगा।	I will never do it again.
तेरा बाप टीचर है क्या?	Is your father a teacher?
मुझे अपना पता बतादेना।	Let me know your address.
कृपया पाँच मिनट ठहरिए।	Please wait five minutes.
इस घर में छः कमरे हैं।	This house has six rooms.
यह उसके जितना बड़ा है।	This is as large as that.
कनाडा एक बड़ा देश है ।	Canada is a large country.
वह बुखार से जल रहा था।	He was burning with fever.
मैं छाया में खड़ा हूँ।	I'm standing in the shade.
इस दोपहर को मिलते हैं।	Let's meet this afternoon.
तोहफ़े के लिए धन्यवाद।	Thank you for the present.
कोई और रास्ता भी होगा।	There must be another way.
वे फ़िल्म देख रहे हैं।	They are watching a movie.
आज स्वतंत्रता दिवस है।	Today is Independence Day.
वह पुलिस अफ़सर बन गया।	He became a police officer.
उसने काम अपने-आप किया।	He did the work on his own.
वह मेरे बजाय वहां गया।	He went there instead of me.
उसने कहा कि वह खुश थी।	She said that she was happy.
दुकान आज खुली नहीं है।	The store is not open today.
हम पड़ोसी हुआ करते थे।	We were next-door neighbors.
आप कहाँ बैठना चाहेंगे?	Where would you like to sit?
वे जापानी हैं या चीनी?	Are they Japanese or Chinese?
तुम उसे कैसे जानते थे?	How did you come to know her?
