वह डॉक्टर नहीं है।	She's not a doctor.
वह अपनी क़ब्र खोद रहा है।	He is digging his own grave.
मुझे अभी खाना खाने का मन नहीं है।	I don't feel like eating now.
यह उपन्यास बहुत रोमांचक है।	The novel is very exciting.
इसके बारे में चिंता करने से कोई फ़ायदा नहीं है।	It is no use worrying about it.
यह शेर बहुत पालतू है।	This lion is very tame.
यह रास्ता बहुत पतला है।	This road is very narrow.
टॉम मेरा दोस्त है।	Tom is my friend.
वह किसी नौकरी के पीछे पड़ा है।	He is after a job.
यह कपड़ा बहुत रेशमी है।	This cloth is really smooth and silky.
वह भारत और चीन दोनो में बहुत मशहूर है।	She is well known in both India and China.
वह भारत और चीन दोनो में बहुत प्रसिद्ध है।	She is well known in both India and China.
वह बच्चे की तरह सो रहा है।	He's sleeping like a baby.
उसने मुझे बताया कहाँ जाना है।	He told me where to go.
मुझे पीठ में बुरी तरह से दर्द हो रहा है।	I have a bad pain in my back.
यह एक बहुत अच्छा सवाल है।	That's a good question.
मेरी पत्नी चीनी है।	My wife is Chinese.
मेरे पास तुम्हारी काम में मदद करने के लिए समय नहीं है।	I have no time to help you with the work.
शक की कोई गुंजाईश नहीं रही है।	There is no longer any room for doubt.
मेरे पास तुमसे मिलने के लिए समय नहीं है।	I have no time to see you.
गरम पानी नहीं चल रहा है।	The hot water isn't running.
मेरी बीवी चीनी है।	My wife is Chinese.
स्कूल अप्रैल में शुरू होता है।	School begins in April.
मैं भगवान में यकीन नहीं करता।	I don't believe in God.
मुझे उस आदमी से चिढ़ आती है।	That guy annoys me.
उसकी नाकामयाबी से मेरा कोई लेना-देना नहीं है।	His failure has nothing to do with me.
टॉम मेरा लड़का है।	Tom is my son.
यह शब्द ग्रीक से आता है।	This word comes from Greek.
मेरी बीवी को बिल्लियों से नफ़रत है।	My wife really hates cats.
मुझे चाय से ज़्यादा कॉफ़ी पसंद है।	I prefer coffee to tea.
उसकी नौकरी का कोई भविष्य नहीं है।	There is no future in his job.
हमारे पास खुशखबर है।	We have good news.
मैं अभी हवाईअड्डे में हूँ।	I'm at the airport now.
वह अपने बाल महीने में एक बार कटवाता है।	He has his hair cut once a month.
वह अंग्रेज़ी मुझसे अच्छा बोलता है।	He speaks English better than I do.
बस अभी तक आई नहीं है।	The bus hasn't come yet.
मेरी बहन को बच्चों से बहुत प्यार है।	My sister is very fond of children.
वह मुझसे दो साल छोटी है।	She is two years younger than me.
मेरी बहन के पास नौकरी है।	My sister has a job.
यह मशीन बिजली से चलती है।	This machine is driven by electricity.
ऐसा लगता है कि वह अमीर है।	It seems that he is rich.
मेरे पास आज बहुत काम है।	I have a lot of work to get through today.
मेरा फ़ोन खराब है।	My telephone is out of order.
वह स्कूल जाने के लिए अभी बहुत छोटी है।	She is too young to go to school.
मेरे लिए तैरना आसान है।	Swimming is easy for me.
टॉम को अच्छे से तैरना आता है।	Tom is able to swim well.
इसका तुमसे कोई लेना-देना नहीं है।	That is no business of yours.
पेंट अभी तक सूखा नहीं है।	The paint hasn't dried yet.
मुझे उसके काम करने की योग्यता पर भरोसा नहीं है।	I doubt his ability to do the job.
मेरे पापा को गर्मी के मौसम से नफ़रत है।	My father hates the summer heat.
सर्दी आ रही है।	Winter is coming on.
चाय भारत में बहुत उगाई जाती है।	Tea is widely grown in India.
कहा जाता है कि वह बीमार है।	It is said that he is sick.
लंदन दुनिया के सबसे बड़े शहरों में से एक है।	London is one of the largest cities in the world.
भारत का मौसम इंग्लैड के मौसम से एकसमान नहीं है।	India has a different climate from England.
वह जल्दी नहीं उठा।	He did not get up early.
मैं आस-पड़ोस में रहता हूँ।	I live near here.
वह अपनी माँ जैसी सुंदर है।	She is as beautiful as her mother.
मुझे तुमसे किसी बारे में बात करनी है।	There's something we need to talk about.
वह अमीर है हो है पर कंजूस भी है।	He may be rich, but he is stingy.
जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।	Japan is one of the greatest economic powers in the world.
उसने चिट्ठी अभी तक नहीं लिखी है।	He hasn't written the letter yet.
मुझे शास्त्रीय संगीत सुनने का शौक नहीं है।	Classical music is not my cup of tea.
मेज़ के नीचे एक बिल्ली है।	There is a cat under the desk.
यह मेरी बहन की तस्वीर है।	This is a picture of my sister.
उसके पास जीने के लिए ज़्यादा समय नहीं है।	He doesn't have long to live.
फ़ोटोकॉपियर में कागज़ खतम हो गया है।	We've run out of paper for the photocopier.
उसको मनाने की कोशिश करने में कोई फ़ायदा नहीं है।	There's no use trying to persuade him.
अमेरिका में अंग्रेजी बोली जाती है।	English is spoken in America.
वह अभी एक उपन्यास पढ़ रहा है।	He's reading a novel now.
मेक्सिको में स्पैनिश बोली जाती है।	Spanish is spoken in Mexico.
उसको बहादुरी की ज़रूरत है।	What he lacks is courage.
दुकान आज बंद है।	The store is not open today.
आस्ट्रेलिया में अंग्रेजी बोली जाती है।	English is spoken in Australia.
मैं फिरसे नहीं करूँगा।	I will never do it again.
मैं हिल नहीं सकता।	I can't move.
मैंने फ़ोन कर लिया है।	I've already called.
मेरा परिवार छोटा है।	My family is small.
उसकी हालत बुरी है।	He is in poor health.
मैं छाया में खड़ा हूँ।	I'm standing in the shade.
खाना ठंडा हो रहा है।	The food is getting cold.
उनके पास रहने के लिए कोई घर नहीं है।	They have no house to live in.
बोलने और करने में फ़र्क होता है।	Talking is one thing, doing is another.
उसकी राय बेकार है।	His opinions are worthless.
मैं छाँओं में खड़ा हूँ।	I'm standing in the shade.
ताज महल विश्व के सात आश्चर्यों में से एक है।	The Taj Mahal is one of the seven wonders of the world.
मेरे घर के पीछे एक बगीचा है।	There is a garden behind my house.
तुम्हारे पास शिकायत करने के लिए को भी वजह नहीं है।	You've got nothing to complain of.
योजना के बारे में कुछ ही लोगों को पता है।	Few people know about the plan.
कहने और करने में बड़ा अंतर है।	Saying and doing are two different things.
नहीं, मैं नहीं गया था।	No, I didn't go.
बिजली गई हुई है।	The power's out.
मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।	I want this photograph developed as soon as possible.
तुम्हे उसने गप मारने की ज़रूरत नहीं है।	You don't have to chat with them.
मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।	I don't know who wrote this letter.
यह टाई मेरे सूट के साथ जचती नहीं है।	This tie doesn't go with my suit.
मेरी एक अटैची ग़ायब है।	One of my bags is missing.
तुम्हारी बेटी अब बच्ची नहीं है।	Your daughter is not a child any more.
सब लोगों के लिए एक समान है।	It's the same for everyone.
वह बगीचे में है, गुलाब के फूल लगा रही है।	She's in the garden planting roses.
मैं तुमसे खुश नहीं हूँ।	I have a bone to pick with you.
यह सिद्धांत मेरे समझने से बाहर है।	This theory is too difficult for me to comprehend.
बरफ़ गिर रही है।	It's snowing.
पाँच से दस को जोड़ना बहुत आसान है।	It is easy to add 5 to 10.
मुसलाधार बारिश होती है।	It's raining cats and dogs.
उसका निशाना बहुत अच्छा है।	He is a sharp-shooter.
मैंने अभी काम ख़तम नहीं किया है।	I have not finished the task yet.
यह उसके जितना बड़ा है।	This is as large as that.
जनसंख्या बढ़ रही है।	The population is increasing.
हो नहीं सकता कि वह मेरी हो, क्योंकि मेरी अभी हस्पताल में है।	That can't be Mary. She's in the hospital now.
मेरी को स्पा जाना पसंद है।	Mary loves going to the spa.
आबादी बढ़ रही है।	The population is increasing.
तुम्हारी याददाश्त अच्छी है।	You have a good memory.
आज स्वतंत्रता दिवस है।	Today is Independence Day.
वह बीमार नहीं हो सकता।	He can't be ill.
यह पानी पिया नहीं जा सकता है।	The water is not drinkable.
चीन की जनसंख्या भारत की से बड़ी है।	The population of China is larger than that of India.
यह किताब उस किताब से पुरानी है।	This book is older than that one.
ऐसा अक्सर होता है।	Such a thing occurs frequently.
आज मौसम बहुत गरम है।	It's hot today.
वह सड़क नदी के साथ साथ चलती है।	The road is parallel to the river.
वह जो भी कहे मुझे उसपर यकीन है।	I believe whatever he says.
हम जल्दी में हैं।	We're in a hurry.
यह रेशम छूने में बहुत नर्म लगता है।	This silk feels smooth.
मुझे अपनी घड़ी ठीक करनी है। धीरे चल रही है।	I must adjust my watch. It's slow.
मैं तुमसे सहमत नहीं हूँ।	I don't agree with you.
वह नगर दो मील दूर है।	That town is two miles away.
मेरी पीठ में थोड़ा दर्द हो रहा है।	I've got a bit of an ache in my back.
मेरे विचार से यह युक्तियुक्त नहीँ है।	I don't think it's reasonable.
वह नगर दो मील की दूरी पर है।	That town is two miles away.
यह सरासर समय की बर्बादी है।	It is a sheer waste of time.
यह उसकी चिट्ठी का जवाब है।	It's an answer to her letter.
अंग्रेज़ी वैश्विक भाषा है।	English is the world's language.
वह दस भाषाएँ बोलना जानता है।	He is able to speak ten languages.
वह हर सुबह अखबार पढ़ता है।	He reads the paper every morning.
मुझे नहीं पता वह कब आएगा।	I don't know when he will come.
मुझे अपने पिता की ग़रीबी पर शर्म नहीं आती है।	I'm not ashamed of my father being poor.
वह हर रोज़ बेसबॉल खेलता है।	He plays baseball every day.
जापान में बीवा झील से बड़ी और कोई झील नहीं है।	In Japan there aren't any lakes bigger than Lake Biwa.
उसने मुझे अपनी शादी में आने का का न्योता दिया है।	She has invited me to attend her wedding.
हमारी आज स्कूल से छुट्टी है।	We have no school today.
हम शहर में हैं।	We're in town.
मेरा दीवालिया हो चुका है।	I'm broke.
तुम्हारा कुत्ता बहुत बड़ा है।	Your dog is very big.
इटली की राजधानी रोम है।	The capital of Italy is Rome.
मुझे अंग्रेज़ी पढ़ना अच्छा लगता है।	I like studying English.
वह हमेशा काले कपड़े पहनती है।	She is always dressed in black.
यह जहाज़ फ़िनलैंड के लिए रवाना है।	The ship is bound for Finland.
मुझे परिस्तिथि के बदतर होने का डर है।	I am afraid of the situation getting worse.
यहाँ तैरना बहुत ख़तरनाक है।	Swimming here is very dangerous.
मैं घर पर हूँ।	I am at home.
उसे किसी भी चीज़ का डर नहीं है।	She is not afraid of anything.
देखो बाहर क्या हो रहा है।	See what's going on outside.
बर्न स्विजरलैंड की राजधानी है।	Bern is the capital of Switzerland.
मैं आमतौर के मुकाबले में देर से आया।	I arrived later than usual.
उसे ज़ुकाम बहुत आसानी से हो जाता है।	He catches colds easily.
मुसलाधार वर्षा होती है।	It's raining cats and dogs.
इस साल ज़्यादा बारिश नहीं हो रही है।	It isn't raining much this year.
उन सभी के पास साईकल है।	Each of them has a bicycle.
इस वॉशिंग मशीन में कुछ खराबी है।	Something is wrong with this washing machine.
एसी बहुत आवाज़ करता है।	The air conditioner makes too much noise.
मुझे उसका पता पता है, पर वह एक राज़ है।	I know his address, but it's a secret.
मैं आऊंगा।	I'll attend.
मैं हँसा।	I laughed.
मुश्किल यह है कि उनके पास समय नहीं है।	The trouble is that they have no time.
स्मॉग से पेड़-पौधों की मौत होती है।	Smog causes plants to die.
टोक्यो बहुत बड़ा शहर है।	Tokyo is a very big city.
उसने टोपी पहनी हुई है।	He has a hat on.
जंग हमारे हित में जा रहा है।	The war is going in our favor.
उसे मेहनत करने की आदत है।	He is accustomed to hard work.
मुझे ठीक से नहीं पता इस शब्द को कैसे पढ़ा जाता है।	I am not sure how to pronounce the word.
हमे किसी भी चीज़ की कमी नहीं है।	We lack nothing.
मेरे पास फ़ेसबुक खाता है।	I have a Facebook account.
वह मेरी बात नहीं सुनेगा।	He will not listen to me.
एक आदमी के लिए काम करना ज़रूरी है।	A man must work.
पिछले शनिवार से मौसम बहुत अच्छा है।	It has been fine since last Friday.
मुझे उसकी चिट्ठी का जवाब देना है।	I have to answer his letter.
मुझे थोड़ा आराम करने का मन है।	I feel like taking a rest.
वह गरीब है, पर दिखने से खुश लगती है।	She is poor, but she looks happy.
झील यहाँ पर बहुत गहरी है।	The lake is deep here.
मैं रविवार को काम पर नहीं जाता।	I don't go to work on Sundays.
तुम्हारा कुत्ता बहुत मोटा है।	Your dog is very fat.
यह रेशम जैसा लगता है।	This feels like silk.
मैं ठीक हूँ।	I'm fine.
वह सही-ग़लत में अंतर करना नहीं जानता।	He has no sense of right and wrong.
मेरे पास आज रात सोने के लिए जगह नहीं है।	I have no place to sleep tonight.
मैं डॉक्टर हूँ।	I'm a doctor.
मुझे उसकी मुस्कान अच्छी लगती है।	I like the way she smiles.
टॉम, मुझे तुमसे बात करनी है।	Tom, I want to talk to you.
मेरे भाई की याददाश्त अच्छी है।	My brother has a good memory.
यह मेज़ लकड़ी की बनी है।	This desk is made of wood.
यह घड़ी टूटी हुई है।	This watch is broken.
बरफ़ जैसा दिखता है।	It looks like snow.
मुझे उसके बयान की सच्चाई पर शक है।	I doubt the truth of his statement.
मुझे उसके बयान की सच्चाई पर शक़ है।	I doubt the veracity of his statement.
यह मशीन उस मशीन से बेहतर है।	This machine is superior in quality to that one.
इस समस्या को सुलझाना बहुत कठिन है।	This problem is hard to solve.
यह म्युज़ियम पाँच साल से बंद है।	This museum has been closed for five years.
लोहा सोने से सख्त होता है।	Iron is harder than gold.
मैं बैंक में काम करता हूँ।	I work for a bank.
तुम वह साबित नहीं कर सकते।	You can't prove that.
शेर जंगल का राजा है।	The lion is the king of the jungle.
कि वह अम्रीका जाएगा, यह तो पक्का है।	It is definite that he will go to America.
खाना अभी तक तैयार नहीं हुआ है।	The food's not ready yet.
वह पार्क में खो गया।	He got lost in the park.
मैं बेहोशी में चला गया।	I lost consciousness.
मेरा आज अंग्रेज़ी पढ़ने का मन नहीं है।	I don't feel like studying English today.
बेकरी में जो लड़की काम करती है वह बहुत क्यूट है।	The girl who works at the bakery is cute.
डब्बा लकड़ी का बना है।	The box is made of wood.
मैं जंगल में खो गया।	I got lost in the forest.
वह अपनी ज़िंदगी को भारत में बीमारों का इलाज करने में समर्पित करना चाहता है।	He intends to devote his life to curing the sick in India.
उस तरह का आदमी मुझसे झिलता नहीं है।	A man like that gets on my nerves.
ईमानदारी सर्वोत्तम नीति है।	Honesty is the best policy.
ग्लास रेत से बनाया जाता है।	Glass is made from sand.
वह हमेशा अपनी टीचर की शिक़ायत करती है।	She always complains of her teacher.
यह साईकल तुम्हारे लिए बहुत छोटी है।	That bicycle is too small for you.
म्युज़ियम में ज़िन्दा जानवर नहीं हैं।	There are no live animals in the museum.
उसे अपना स्कूल बहुत पसंद है।	She likes her school a lot.
समस्या पर बहस जारी है।	The problem is being discussed now.
मैं समझता हूँ।	I understand.
बुरी खबर तेज़ी से फैलती है।	Bad news travels quickly.
मैंने उसे गुस्सा कर दिया है।	I have made him angry.
उसको मेहनत करने की आदत है।	He is used to hard work.
मैं अनीश्वरवादी हूँ।	I'm an atheist.
मैं निकम्मा हूँ।	I'm a good-for-nothing bum.
किसी को भी उसके निर्दोष होने का यकीन नहीं है।	No one believes that he is innocent.
